Position (m),GS Temperature (C)
1621,1.419e-05
1622,1.41e-05
1623,1.401e-05
1624,1.392e-05
1625,1.383e-05
1626,1.374e-05
1627,1.365e-05
1628,1.356e-05
1629,1.348e-05
1630,1.339e-05
1631,1.33e-05
1632,1.322e-05
1633,1.313e-05
1634,1.304e-05
1635,1.296e-05
1636,1.288e-05
1637,1.279e-05
1638,1.271e-05
1639,1.263e-05
1640,1.255e-05
1641,1.246e-05
1642,1.238e-05
1643,1.23e-05
1644,1.222e-05
1645,1.215e-05
1646,1.207e-05
1647,1.199e-05
1648,1.191e-05
1649,1.183e-05
1650,1.176e-05
1651,1.168e-05
1652,1.161e-05
1653,1.153e-05
1654,1.146e-05
1655,1.138e-05
1656,1.131e-05
1657,1.123e-05
1658,1.116e-05
1659,1.109e-05
1660,1.102e-05
1661,1.095e-05
1662,1.088e-05
1663,1.08e-05
1664,1.073e-05
1665,1.067e-05
1666,1.06e-05
1667,1.053e-05
1668,1.046e-05
1669,1.039e-05
1670,1.032e-05
1671,1.026e-05
1672,1.019e-05
1673,1.013e-05
1674,1.006e-05
1675,9.995e-06

,Results
Iterations,1675
Absolute Error (degC),9.995e-06
Convergence Criteria,1e-05

